1	مِن	3226	PARTICLE			
2	اللَّه	2699	NOUN	PN		أله
3	ما	2565	NOUN	REL		
4	لا	1742	PARTICLE	NEG		
5	فِي	1701	PARTICLE			
6	إِنّ	1682	PARTICLE			
7	قالَ	1618	VERB		1	قول
8	الَّذِي	1468	NOUN	REL		
9	عَلَى	1445	PARTICLE			
10	كانَ	1358	VERB		1	كون
11	ذا	1058	NOUN	DEM		
12	رَبّ	975	NOUN			ربب
13	مَن	871	NOUN	REL		
14	إِلَى	742	PARTICLE			
15	إِن	703	PARTICLE	COND		
16	إِلّا	659	PARTICLE			
17	أَن	616	PARTICLE			
18	آمَنَ	537	VERB		4	أمن
19	يَوْم	475	NOUN			يوم
20	عَن	465	PARTICLE			
21	أَرْض	461	NOUN			أرض
22	إِذا	423	NOUN			
23	قَد	406	PARTICLE			
24	قَوْم	383	NOUN			قوم
25	آيَة	382	NOUN			أيي
26	عَلِمَ	382	VERB		1	علم
27	أَنّ	362	PARTICLE			
28	كُلّ	359	NOUN			كلل
29	لَم	348	PARTICLE	NEG		
30	جَعَلَ	340	VERB		1	جعل
31	ثُمّ	338	PARTICLE			
32	رَسُول	332	NOUN			رسل
33	عَذاب	322	NOUN			عذب
34	سَماء	310	NOUN			سمو
35	إِذ	309	NOUN			
36	نَفْس	295	NOUN			نفس
37	كَفَرَ	289	VERB		1	كفر
38	شَىْء	283	NOUN			شيأ
39	أَو	280	PARTICLE			
40	جاءَ	278	VERB		1	جيأ
41	عَمِلَ	276	VERB		1	عمل
42	آتَى	271	VERB		4	أتي
43	رَأَى	271	VERB		1	رأي
44	بَيْن	266	NOUN			بين
45	أَتَى	264	VERB		1	أتي
46	كِتاب	260	NOUN			كتب
47	حَقّ	247	NOUN	ADJ		حقق
48	قَبْل	242	NOUN			قبل
49	ناس	241	NOUN			أنس
50	شاءَ	236	VERB		1	شيأ
51	أَيّ	215	NOUN	INTG		أيي
52	مُؤْمِن	202	NOUN	ACT_PCPL	4	أمن
53	لَو	201	PARTICLE	COND		
54	بَعْد	199	NOUN			بعد
55	عِند	197	NOUN			عند
56	خَلَقَ	184	VERB		1	خلق
57	أَنزَلَ	183	VERB		4	نزل
58	خَيْر	178	NOUN	ADJ		خير
